description,cleaned_description,merchant_cluster_id,suggested_category_v2,category_confidence_v2
"Paypal *Economist The, 353143690","ECONOMIST THE,",-1,Groceries,0.16
"Temu.com, London","TEMU.COM, LONDON",-1,Entertainment & Leisure,0.19
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
Interest On Your Standard Balanc,INTEREST ON YOUR STANDARD BALANC,0,Savings & Investments,0.21
"Disclosure &amp; Barring, Liverpool","DISCLOSURE AND BARRING, LIVERPOOL",-1,Entertainment & Leisure,0.22
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Payment, Thank You","PAYMENT, THANK YOU",1,Insurance & Finance,0.25
"Www.Theselfstoragecompan, Hemel","THESELFSTORAGECOMPAN, HEMEL",-1,Groceries,0.31
"Www.Theselfstoragecompan, Hemel","THESELFSTORAGECOMPAN, HEMEL",-1,Groceries,0.31
"McDonalds, Stonehouse","MCDONALDS, STONEHOUSE",-1,Dining Out,1.0
